index	status	clauses	source_clauses	core_sha256	proof_sha256	seconds	detail
0	CERTIFIED	2440	4151	79be045a9e77ee2724815fb8b2a26ea614c649343a6d09556f6a69cd468653cd	5e23172d59a8972b91b1ebe90a525632302e0afa8c92dd7360a98f4095376765	1044.739815	source subset and fresh DRAT VERIFIED
1	CERTIFIED	2351	4151	b3b6b6cd49bf6013a8c69a8b7f111e1d453e69fafba48395561da8d831d9dd10	2a2fce75ffd58cafcf718877014ac3d4c025ad7020ac7bb9ce0e34e3ffd382c4	556.878898	source subset and fresh DRAT VERIFIED
2	CERTIFIED	2473	4151	ab795da690444e6e771a46de06da1db95f19af5ae1453184d2d77b3c5592c417	81e0e4cdd43d602b68703a9eeb604aaac7f48b560e179c86316961b2b83721fb	833.674204	source subset and fresh DRAT VERIFIED
3	CERTIFIED	2348	4151	281c480ed695e0261bc8fb5920db1f08ca7e2a300137889f7b373f0284823f68	265de46d4e3de8967284c556dd29fa2af3a0df7e02df010477195cff61e01f12	344.062436	source subset and fresh DRAT VERIFIED
4	CERTIFIED	2339	4151	35e45faeeabf448b93c42719be923039e9c4c0f96feb5b7f3896aac48d24e78e	618a9fde32d1a021fcc3079afb70a22b6ba4d73b79f81eeb1c32389628cae02e	546.507124	source subset and fresh DRAT VERIFIED
5	CERTIFIED	2365	4151	271b8fe23ac0eec3443a6e719ed379b4590605412bf30208c3e591d123ba6488	05a8cc1f892f0dfd528f6a1f6ccafa043e47f0e0c83a1928b88e8386bc02ad95	800.216674	source subset and fresh DRAT VERIFIED
6	CERTIFIED	2257	4151	8fc068aed479419e558a67729a49629c772ec950597825821107d19e8d215b3f	c6d54eaf12a74877568e774091b27360b4e8cf84015443938ec44663d64f0c7b	54.514416	source subset and fresh DRAT VERIFIED
7	CERTIFIED	2361	4151	e6dc3004e630d4052c327e42fb93950800ce5b2ab4329df0a4c51d32ffaf772b	7f156f42b568df3756e1ade892e416d1348e4d2a0afb31257ac3f5eb58227e1f	47.351262	source subset and fresh DRAT VERIFIED
8	CERTIFIED	2297	4151	955960d06a6550f49dfb1ecc6a1aa8660c15908a23ded4a9c8678ed1010ba083	5c41d42e3d58c91c15d4750f77b59b439154c970fd9800eb65e1790e1861a116	163.990387	source subset and fresh DRAT VERIFIED
9	CERTIFIED	2453	4151	fae75b07c4cd5e2f4c78386401f2b9175b3c7b509d1ce2466b83d02c551eee74	25a1956c6b56b318b5a0d3f712aa10b86702f424ce31e70854f7e5d6fdda4fe8	335.783191	source subset and fresh DRAT VERIFIED
10	CERTIFIED	518	4151	cf056b0b3d40de7a3fb1c0038fdc964869e7df24dbd260cc6a2f2fb9e704fc9f	e1f6f028e89440b443ebbbd15968d14c8c03c2ed4ab12234a07722f3f118944e	0.209753	source subset and fresh DRAT VERIFIED
11	CERTIFIED	351	4151	2a2e92579a93b672214ba68c809bea16caf3f93152e5953d9fe4e57439adb3c5	f1a5df227fbbd42432122e0e2e42f3b043b88acb13d53c0fc3eea513c67b6ade	0.193249	source subset and fresh DRAT VERIFIED
12	CERTIFIED	568	4151	1e82ce5ce072e8a745625e931f2de7c75820ea627880cbe55e99114a0225f9e2	914d9208cef70caa0ddab506127f246cf9aa7173c3019bfc549dba4bcad0b38e	0.189039	source subset and fresh DRAT VERIFIED
13	CERTIFIED	557	4151	02ee85bc6e39f857e99df184702c280b30c91bb55f567f6b0a8ea1e96889d554	d017295d3c3d0aaf912c8086c8c50a98c2e285cbf4d202ca8a91d9724d8e6fba	0.197164	source subset and fresh DRAT VERIFIED
